,date,rcp_scenario,temp
0,2022-01-1,rcp45,16.02084374615347
1,2022-01-2,rcp45,15.894968159346114
2,2022-01-3,rcp45,15.858531381210431
3,2022-01-4,rcp45,15.882377938377758
4,2022-01-5,rcp45,16.05673047817009
5,2022-01-6,rcp45,16.024531951624827
6,2022-01-7,rcp45,15.736214605055617
7,2022-01-8,rcp45,15.300004278761678
8,2022-01-9,rcp45,15.444939968543332
9,2022-01-10,rcp45,15.50597151534535
10,2022-01-11,rcp45,15.450840194606544
11,2022-01-12,rcp45,15.382391151405429
12,2022-01-13,rcp45,15.286236134666657
13,2022-01-14,rcp45,15.240695317878805
14,2022-01-15,rcp45,15.214847224944853
15,2022-01-16,rcp45,15.217658164877284
16,2022-01-17,rcp45,15.172446850303391
17,2022-01-18,rcp45,15.129541638196008
18,2022-01-19,rcp45,15.137445190539506
19,2022-01-20,rcp45,15.116698633984498
20,2022-01-21,rcp45,15.015686367184463
21,2022-01-22,rcp45,14.833551019129262
22,2022-01-23,rcp45,14.82511951603054
23,2022-01-24,rcp45,15.016404249642186
24,2022-01-25,rcp45,15.137918717174744
25,2022-01-26,rcp45,15.215158852388198
26,2022-01-27,rcp45,15.254745236197456
27,2022-01-28,rcp45,15.281270137457405
28,2022-01-29,rcp45,15.17481044069921
29,2022-01-30,rcp45,15.034135938772458
30,2022-01-31,rcp45,14.904468996350912
31,2027-01-1,rcp45,14.059200999324267
32,2027-01-2,rcp45,14.05153377445229
33,2027-01-3,rcp45,14.19685300385415
34,2027-01-4,rcp45,14.16384464854926
35,2027-01-5,rcp45,14.1200436809468
36,2027-01-6,rcp45,14.25271842944736
37,2027-01-7,rcp45,14.344503289141073
38,2027-01-8,rcp45,14.43385229287018
39,2027-01-9,rcp45,14.371002444891896
40,2027-01-10,rcp45,14.12578756573514
41,2027-01-11,rcp45,14.122462887817319
42,2027-01-12,rcp45,14.045780382836993
43,2027-01-13,rcp45,13.92108288880112
44,2027-01-14,rcp45,13.84269677722665
45,2027-01-15,rcp45,13.798333333822029
46,2027-01-16,rcp45,13.711102689025424
47,2027-01-17,rcp45,13.492145557322681
48,2027-01-18,rcp45,13.365404401922305
49,2027-01-19,rcp45,13.330589688943535
50,2027-01-20,rcp45,13.248637620851902
51,2027-01-21,rcp45,13.144270990706596
52,2027-01-22,rcp45,13.029443790933966
53,2027-01-23,rcp45,13.19279539922688
54,2027-01-24,rcp45,13.297394983143498
55,2027-01-25,rcp45,13.439246076281975
56,2027-01-26,rcp45,13.519889915574653
57,2027-01-27,rcp45,13.645881772267995
58,2027-01-28,rcp45,13.587850233948133
59,2027-01-29,rcp45,13.473612819044693
60,2027-01-30,rcp45,13.463363595401026
61,2027-01-31,rcp45,13.506046499149043
62,2032-01-1,rcp45,16.389347169164395
63,2032-01-2,rcp45,16.30900696298349
64,2032-01-3,rcp45,16.314738927202065
65,2032-01-4,rcp45,16.27878498623111
66,2032-01-5,rcp45,16.185027413435474
67,2032-01-6,rcp45,16.085396437608388
68,2032-01-7,rcp45,16.012743116566504
69,2032-01-8,rcp45,16.03087682457358
70,2032-01-9,rcp45,16.108382795513826
71,2032-01-10,rcp45,16.220830871481223
72,2032-01-11,rcp45,16.16031027623992
73,2032-01-12,rcp45,15.940141967404378
74,2032-01-13,rcp45,16.017865609991624
75,2032-01-14,rcp45,15.853767395807687
76,2032-01-15,rcp45,15.667208798083687
77,2032-01-16,rcp45,15.490575134606752
78,2032-01-17,rcp45,15.31825799344591
79,2032-01-18,rcp45,15.147131003601382
80,2032-01-19,rcp45,14.966379356054528
81,2032-01-20,rcp45,14.847650618375248
82,2032-01-21,rcp45,14.853182477036848
83,2032-01-22,rcp45,14.4807951252208
84,2032-01-23,rcp45,13.636546687490497
85,2032-01-24,rcp45,14.343614812337956
86,2032-01-25,rcp45,14.478947927515936
87,2032-01-26,rcp45,13.875505839839022
88,2032-01-27,rcp45,13.468923821053894
89,2032-01-28,rcp45,13.674569709734664
90,2032-01-29,rcp45,13.975649919575973
91,2032-01-30,rcp45,13.999793484274887
92,2032-01-31,rcp45,14.057948592632604
93,2037-01-1,rcp45,14.875483616395975
94,2037-01-2,rcp45,14.932051256564113
95,2037-01-3,rcp45,14.96634704682001
