,date,temp_10m
0,20210101,15.544739723205566
1,20210102,15.463830947875977
2,20210103,15.465662002563477
3,20210104,15.456172943115234
4,20210105,15.334589958190918
5,20210106,15.19171142578125
6,20210107,15.0647554397583
7,20210108,14.99379825592041
8,20210109,14.83586597442627
9,20210110,14.713737487792969
10,20210111,14.853219985961914
11,20210112,15.051289558410645
12,20210113,14.979105949401855
13,20210114,14.418595314025879
14,20210115,14.23868465423584
15,20210116,14.402443885803223
16,20210117,14.478667259216309
17,20210118,13.919384002685547
18,20210119,13.928906440734863
19,20210120,13.968670845031738
20,20210121,14.237923622131348
21,20210122,14.432775497436523
22,20210123,14.491897583007812
23,20210124,14.35191822052002
24,20210125,14.030875205993652
25,20210126,13.981998443603516
26,20210127,13.719161033630371
27,20210128,13.567344665527344
28,20210129,13.3223237991333
29,20210130,13.435007095336914
30,20210131,13.635807037353516
31,20210201,13.802241325378418
32,20210202,13.954683303833008
33,20210203,14.028904914855957
34,20210204,14.002110481262207
35,20210205,14.00283145904541
36,20210206,13.948328971862793
37,20210207,13.901884078979492
38,20210208,13.914716720581055
39,20210209,13.95296573638916
40,20210210,13.932829856872559
41,20210211,13.97164249420166
42,20210212,13.71590805053711
43,20210213,13.052865028381348
44,20210214,12.817328453063965
45,20210215,12.660006523132324
46,20210216,12.572837829589844
47,20210217,12.476043701171875
48,20210218,12.443024635314941
49,20210219,12.442936897277832
50,20210220,12.49111270904541
51,20210221,12.562600135803223
52,20210222,12.684419631958008
53,20210223,12.841099739074707
54,20210224,12.970447540283203
55,20210225,13.076525688171387
56,20210226,13.193742752075195
57,20210227,13.304944038391113
58,20210228,13.4030122756958
59,20210301,13.58336353302002
60,20210302,13.70728874206543
61,20210303,13.808897972106934
62,20210304,13.885595321655273
63,20210305,13.922703742980957
64,20210306,13.965935707092285
65,20210307,13.972424507141113
66,20210308,14.03416919708252
67,20210309,13.73599624633789
68,20210310,13.540794372558594
69,20210311,13.900925636291504
70,20210312,13.7073974609375
71,20210313,13.732935905456543
72,20210314,13.72415828704834
73,20210315,13.686568260192871
74,20210316,13.696431159973145
75,20210317,13.69491195678711
76,20210318,13.641392707824707
77,20210319,13.566009521484375
78,20210320,13.204841613769531
79,20210321,13.00950813293457
80,20210322,13.33650016784668
81,20210323,13.542120933532715
82,20210324,13.274054527282715
83,20210325,13.215654373168945
84,20210326,13.264946937561035
85,20210327,13.345932006835938
86,20210328,13.420646667480469
87,20210329,13.553909301757812
88,20210330,13.666182518005371
89,20210331,13.79680061340332
90,20210401,13.90993595123291
91,20210402,14.019458770751953
92,20210403,14.144135475158691
93,20210404,14.266337394714355
94,20210405,14.338704109191895
95,20210406,14.092072486877441
96,20210407,13.880328178405762
97,20210408,13.841768264770508
98,20210409,13.796902656555176
99,20210410,13.786164283752441
100,20210411,13.72407341003418
101,20210412,13.761560440063477
102,20210413,13.849699020385742
103,20210414,13.980049133300781
104,20210415,14.137773513793945
105,20210416,14.170435905456543
106,20210417,14.158936500549316
107,20210418,14.167856216430664
108,20210419,14.206467628479004
109,20210420,14.258577346801758
110,20210421,14.362167358398438
111,20210422,14.33059310913086
112,20210423,14.458271026611328
113,20210424,14.630735397338867
114,20210425,14.728437423706055
115,20210426,14.77523136138916
116,20210427,14.843013763427734
117,20210428,14.848464012145996
118,20210429,14.918377876281738
119,20210430,15.004982948303223
120,20210501,15.160111427307129
121,20210502,15.196077346801758
122,20210503,15.138513565063477
123,20210504,15.093644142150879
124,20210505,15.221476554870605
125,20210506,15.440606117248535
126,20210507,15.877707481384277
127,20210508,16.06029510498047
128,20210509,16.103487014770508
129,20210510,16.274826049804688
130,20210511,16.514610290527344
131,20210512,16.641374588012695
132,20210513,16.71190643310547
133,20210514,17.030780792236328
134,20210515,17.20984649658203
135,20210516,17.16339683532715
136,20210517,17.188745498657227
137,20210518,17.15443229675293
138,20210519,17.31003761291504
139,20210520,17.332279205322266
140,20210521,17.4418888092041
141,20210522,17.54498291015625
142,20210523,17.767065048217773
143,20210524,17.94652557373047
144,20210525,18.068424224853516
145,20210526,18.226863861083984
146,20210527,18.459096908569336
147,20210528,18.630144119262695
148,20210529,18.760786056518555
149,20210530,18.903614044189453
150,20210531,19.073183059692383
151,20210601,19.13505744934082
152,20210602,19.26991844177246
153,20210603,19.403589248657227
154,20210604,19.483793258666992
155,20210605,19.565832138061523
156,20210606,19.63715362548828
157,20210607,19.73223304748535
158,20210608,19.830183029174805
159,20210609,19.972623825073242
160,20210610,19.969379425048828
161,20210611,19.97991371154785
162,20210612,19.97517967224121
163,20210613,20.036272048950195
164,20210614,20.05062484741211
165,20210615,19.972684860229492
166,20210616,19.910303115844727
167,20210617,20.011232376098633
168,20210618,19.960817337036133
169,20210619,19.95260238647461
170,20210620,20.060436248779297
171,20210621,20.203937530517578
172,20210622,20.57773780822754
173,20210623,20.38990020751953
174,20210624,20.33462142944336
175,20210625,20.39522361755371
176,20210626,20.57688331604004
177,20210627,21.1314754486084
178,20210628,21.368160247802734
179,20210629,21.42782974243164
180,20210630,21.3245849609375
181,20210701,21.272613525390625
182,20210702,21.877164840698242
183,20210703,22.310718536376953
184,20210704,22.55704116821289
185,20210705,22.277849197387695
186,20210706,22.44036865234375
187,20210707,22.48067283630371
188,20210708,22.475242614746094
189,20210709,22.408891677856445
190,20210710,22.711814880371094
191,20210711,22.891939163208008
192,20210712,23.240163803100586
193,20210713,23.30280113220215
194,20210714,23.101234436035156
195,20210715,22.323781967163086
196,20210716,22.663990020751953
197,20210717,22.593379974365234
198,20210718,22.25503921508789
