,date,temp
0,20100101,16.391685
1,20100102,16.330992
2,20100103,16.335812
3,20100104,16.307007
4,20100105,16.286913
5,20100106,16.132442
6,20100107,16.065464
7,20100108,16.06789
8,20100109,16.118856
9,20100110,16.115755
10,20100111,16.066105
11,20100112,16.043358
12,20100113,16.01437
13,20100114,15.980352
14,20100115,15.943564
15,20100116,15.906144
16,20100117,15.853297
17,20100118,15.818326
18,20100119,15.770846
19,20100120,15.71764
20,20100121,15.68106
21,20100122,15.609208
22,20100123,15.554706
23,20100124,15.563793
24,20100125,15.494902
25,20100126,15.426351
26,20100127,15.389887
27,20100128,15.371713
28,20100129,15.37255
29,20100130,15.3656225
30,20100131,15.34578
31,20100201,15.325415
32,20100202,15.294057
33,20100203,15.2762
34,20100204,15.251429
35,20100205,15.222153
36,20100206,15.160341
37,20100207,15.092948
38,20100208,15.095801
39,20100209,15.086256
40,20100210,15.051919
41,20100211,15.050051
42,20100212,15.048014
43,20100213,15.02508
44,20100214,14.992296
45,20100215,14.9601555
46,20100216,14.942198
47,20100217,14.967749
48,20100218,14.991855
49,20100219,14.996298
50,20100220,15.006989
51,20100221,14.981905
52,20100222,14.957772
53,20100223,14.990905
54,20100224,14.992153
55,20100225,14.973208
56,20100226,14.919299
57,20100227,14.897054
58,20100228,14.844937
59,20100301,14.843511
60,20100302,14.862265
61,20100303,14.842782
62,20100304,14.855649
63,20100305,14.847433
64,20100306,14.824778
65,20100307,14.796814
66,20100308,14.738771
67,20100309,14.704907
68,20100310,14.682638
69,20100311,14.722859
70,20100312,14.731436
71,20100313,14.739658
72,20100314,14.734322
73,20100315,14.755336
74,20100316,14.770138
75,20100317,14.788736
76,20100318,14.797661
77,20100319,14.835638
78,20100320,14.919573
79,20100321,14.966421
80,20100322,14.96612
81,20100323,14.959678
82,20100324,14.988434
83,20100325,14.977659
84,20100326,15.084438
85,20100327,15.188115
86,20100328,15.221298
87,20100329,15.233641
88,20100330,15.348103
89,20100331,15.399848
90,20100401,15.487198
91,20100402,15.6032295
92,20100403,15.648563
93,20100404,15.751698
94,20100405,15.875559
95,20100406,15.885771
96,20100407,15.707357
97,20100408,15.707262
98,20100409,15.738864
99,20100410,15.764702
100,20100411,15.852394
101,20100412,16.009163
102,20100413,15.999032
103,20100414,15.918495
104,20100415,15.927503
105,20100416,15.965114
106,20100417,16.005882
107,20100418,16.133984
108,20100419,16.241179
109,20100420,16.289248
110,20100421,16.322517
111,20100422,16.372986
112,20100423,16.461916
113,20100424,16.520956
114,20100425,16.526495
115,20100426,16.693882
116,20100427,16.767326
117,20100428,16.793854
118,20100429,16.927862
119,20100430,17.07487
120,20100501,17.331024
121,20100502,17.495108
122,20100503,17.61257
123,20100504,17.704895
124,20100505,17.632517
125,20100506,17.703686
126,20100507,18.036789
127,20100508,18.08432
128,20100509,18.024477
129,20100510,18.013584
130,20100511,17.995878
131,20100512,18.062054
132,20100513,18.254562
133,20100514,18.607864
134,20100515,18.193195
135,20100516,18.429024
136,20100517,18.400208
137,20100518,18.30839
138,20100519,18.122976
139,20100520,18.128044
140,20100521,18.030354
141,20100522,18.11179
142,20100523,18.25416
143,20100524,18.37723
144,20100525,18.467545
145,20100526,18.585924
146,20100527,18.681787
147,20100528,18.821686
148,20100529,19.00611
149,20100530,19.02683
150,20100531,18.958735
151,20100601,19.182976
152,20100602,19.327023
153,20100603,19.115652
154,20100604,19.390116
155,20100605,19.641321
156,20100606,19.65202
157,20100607,19.692873
158,20100608,19.873487
159,20100609,19.908781
160,20100610,20.094942
161,20100611,19.977097
162,20100612,20.170969
163,20100613,20.363075
164,20100614,20.548073
165,20100615,20.536146
166,20100616,20.230715
167,20100617,20.698109
168,20100618,21.39033
169,20100619,20.845284
170,20100620,22.868698
171,20100621,23.201614
172,20100622,23.494637
173,20100623,22.308474
174,20100624,21.12709
175,20100625,20.526752
176,20100626,20.545855
177,20100627,20.729702
178,20100628,20.35002
179,20100629,20.444128
180,20100630,20.754406
181,20100701,20.919186
182,20100702,20.876287
183,20100703,21.019363
184,20100704,21.349936
185,20100705,21.335035
186,20100706,21.202799
187,20100707,21.324102
188,20100708,22.245012
189,20100709,20.29976
190,20100710,20.665644
191,20100711,21.184725
192,20100712,21.449497
193,20100713,21.58354
194,20100714,21.840641
195,20100715,21.887804
196,20100716,20.806892
197,20100717,21.041677
198,20100718,21.858978
199,20100719,21.876055
200,20100720,22.04671
201,20100721,22.571123
202,20100722,23.15901
203,20100723,22.578466
204,20100724,22.398024
205,20100725,23.236712
206,20100726,23.407791
207,20100727,22.677237
208,20100728,22.679432
209,20100729,22.291677
210,20100730,22.15966
211,20100731,22.275555
212,20100801,22.805878
213,20100802,22.107937
214,20100803,21.893454
215,20100804,22.683815
216,20100805,22.94076
217,20100806,23.004335
218,20100807,23.539127
219,20100808,23.572989
220,20100809,22.346218
221,20100810,21.980183
222,20100811,22.284227
223,20100812,22.6382
224,20100813,22.26043
225,20100814,22.777868
226,20100815,22.473011
227,20100816,22.982246
228,20100817,23.743399
229,20100818,23.563702
230,20100819,22.104464
231,20100820,21.796783
232,20100821,21.887419
233,20100822,22.687977
234,20100823,23.11892
235,20100824,23.936478
236,20100825,24.11961
237,20100826,24.075657
238,20100827,24.214216
239,20100828,24.731209
240,20100829,25.056015
241,20100830,25.363842
242,20100831,25.49372
243,20100901,23.969015
244,20100902,22.40843
245,20100903,22.508257
246,20100904,22.929644
247,20100905,23.139725
248,20100906,23.249693
249,20100907,23.433115
250,20100908,23.817062
251,20100909,24.1236
252,20100910,24.099669
253,20100911,23.977303
254,20100912,23.836725
255,20100913,23.968714
256,20100914,23.977064
257,20100915,24.057264
258,20100916,24.108173
259,20100917,24.230465
260,20100918,24.33097
261,20100919,24.357094
262,20100920,24.472834
263,20100921,23.993643
264,20100922,23.970238
265,20100923,23.95817
266,20100924,23.87587
267,20100925,23.622614
268,20100926,23.644003
269,20100927,23.702644
270,20100928,23.728783
271,20100929,23.771463
272,20100930,23.692385
273,20101001,23.579508
274,20101002,23.58268
275,20101003,23.561749
276,20101004,23.586273
277,20101005,23.546734
278,20101006,23.486874
279,20101007,23.43335
280,20101008,23.218382
281,20101009,22.97779
282,20101010,22.728672
283,20101011,22.661139
284,20101012,22.718367
285,20101013,22.749159
286,20101014,22.761564
287,20101015,22.722324
288,20101016,22.653776
289,20101017,22.593655
290,20101018,22.522678
291,20101019,22.467257
292,20101020,22.389042
293,20101021,22.30693
294,20101022,22.227154
295,20101023,22.128498
296,20101024,22.08396
297,20101025,21.987867
298,20101026,22.01723
299,20101027,21.967209
300,20101028,21.857008
301,20101029,21.858097
302,20101030,21.824944
303,20101031,21.770782
304,20101101,21.69922
305,20101102,21.579996
306,20101103,21.469715
307,20101104,21.443598
308,20101105,21.42937
309,20101106,21.402853
310,20101107,21.375
311,20101108,21.240265
312,20101109,21.129957
313,20101110,21.068027
314,20101111,21.05606
315,20101112,21.045193
316,20101113,21.011076
317,20101114,20.95848
318,20101115,20.929907
319,20101116,20.884823
320,20101117,20.80236
321,20101118,20.902822
322,20101119,20.849854
323,20101120,20.816753
324,20101121,20.768026
325,20101122,20.96249
326,20101123,20.85859
327,20101124,20.777372
328,20101125,20.680706
329,20101126,20.524464
330,20101127,20.423082
331,20101128,20.265545
332,20101129,20.19238
333,20101130,20.10195
334,20101201,19.981756
335,20101202,19.906593
336,20101203,19.844126
337,20101204,19.742445
338,20101205,19.60563
339,20101206,19.523106
340,20101207,19.46973
341,20101208,19.418655
342,20101209,19.388792
343,20101210,19.306437
344,20101211,18.902975
345,20101212,18.462996
346,20101213,18.255522
347,20101214,18.062346
348,20101215,17.89923
349,20101216,17.754591
350,20101217,17.60955
351,20101218,17.540821
352,20101219,17.471064
353,20101220,17.45458
354,20101221,17.402737
355,20101222,17.711298
356,20101223,17.69129
357,20101224,17.665026
358,20101225,17.569765
359,20101226,17.539309
360,20101227,17.50328
361,20101228,17.26854
362,20101229,17.124132
363,20101230,17.048527
364,20101231,16.957132
365,20110101,16.892946
366,20110102,16.826101
367,20110103,16.784733
368,20110104,16.745525
369,20110105,16.719381
370,20110106,16.704765
371,20110107,16.674185
372,20110108,16.684175
373,20110109,16.70165
374,20110110,16.71801
